lyrics,artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,decade,uniq_ratio,Sexual,Violence,Substance,Language,Sexual_words,Violence_words,Substance_words,Language_words,Explicit_by_def
well here i sit high gettin idea aint nothin but a fool would live like this out all night and runnin wild woman sittin home with a month old child dang me dang me they oughta take a rope and hang me high from the highest tree woman would you weep for me just sittin round drinkin with the rest of the guy six round bought and i bought five i spent the grocery and a half the rent i lack fourteen dollar havin twenty seven cent dang me dang me they oughta take a rope and hang me high from the highest tree woman would you weep for me they say rose are red and violet are purple and sugar sweet and so is maple syrple well im seventh out of seven son my pappy wa a pistol im a son of a gun i said dang me dang me they oughta take a rope and hang me high from the highest tree woman would you weep for me,roger miller,roger miller,83,dang me,1964,,dang me,roger miller,0.705,0.564,0.378,0,0.000716,9,0.0723,-14.468,1,42,1996,0.168,197.325,4,0.687,1.706666667,170,1.66015625,87,1960,1.954022989,F,T,F,F,,gun,,,T
louie louie oh no you take me where ya gotta go yeah yeah yeah yeah yeah baby louie louie oh baby take me where ya gotta go a fine little girl she wait for me me catch the ship across the sea me sailed the ship all alone me never think ill make it home louie louie oh no no no me gotta go yeah yeah yeah yeah yeah baby louie louie oh baby me gotta go fuck three night and day i sailed the sea me think of girl constantly on the ship i dream she there i smell the rose in her hair louie louie oh no me gotta go yeah yeah yeah yeah yeah baby louie louie oh baby me gotta go ok let give it to em right now me see me see jamaica the moon above it wont be long me see me love me take her in my arm and then i tell her ill never leave again louie louie oh no me gotta go yeah yeah yeah yeah yeah baby louie louie oh baby me gotta go i said me gotta go now let hustle on out of here let go,the kingsmen,the kingsmen,99,louie louie,1964,,louie louie,the kingsmen,0.102,0.623,0.709,0,0,1,0.0967,-9.818,0,62,2006/1/31,0.0636,122.394,4,0.948,2.75635,198,1.197235474,74,1960,2.675675676,F,F,F,T,,,,fuck,T
the eastern world it is explodin violence flarin bullet loadin youre old enough to kill but not for votin you dont believe in war whats that gun youre totin and even the jordan river ha body floatin but you tell me over and over and over again my friend ah you dont believe were on the eve of destruction dont you understand what im trying to say cant you see the fear that im feeling today if the button is pushed there no running away therell be no one to save with the world in a grave take a look around you boy it bound to scare you boy and you tell me over and over and over again my friend ah you dont believe were on the eve of destruction yeah my blood so mad feel like coagulatin im sittin here just contemplatin i cant twist the truth it know no regulation handful of senator dont pas legislation and march alone cant bring integration when human respect is disintegratin this whole crazy world is just too frustratin and you tell me over and over and over again my friend ah you dont believe were on the eve of destruction think of all the hate there is in red china then take a look around to selma alabama ah you may leave here for four day in space but when you return it the same old place the poundin of the drum the pride and disgrace you can bury your dead but dont leave a trace hate your next door neighbour but dont forget to say grace and you tell me over and over and over and over again my friend you dont believe were on the eve of destruction no no you dont believe were on the eve of destruction,barry mcguire,barry mcguire,29,eve of destruction,1965,,eve of destruction,barry mcguire,0.352,0.585,0.414,0,0,2,0.102,-13.494,1,45,2009/1/1,0.0442,116.483,4,0.773,3.61355,301,1.388293137,142,1960,2.11971831,F,T,F,F,,"gun, kill",,,T
i hate to say it but i told you so dont mind my preaching to you i said dont trust him baby now you know you dont learn everything there is to know in school wouldnt believe me when i gave advice i said that he wa a tease if you want help you better ask me nice so be sincere convince me with a pretty please laugh laugh i thought id die it seemed so funny to me laugh laugh you met a guy who taught you how it feel to be lonely oh so lonely dont think im being funny when i say you got just what you deserve i cant help feeling you found out today you thought you were too good you had a lot of nerve wont say im sorry for the thing i said im glad he packed up to go you kept on bragging he wa yours instead found you dont know everything there is to know before i go id like to say one thing dont close your ear to me take my advice and youll find out that being just another girl wont cause you misery you say you can get any boy at your call dont be so smug or else youll find you cant get any boy at all youll wind up an old lady sitting on the shelf lonely oh so lonely,the beau brummels,the beau brummels,87,"laugh, laugh",1965,,laugh laugh,the beau brummels,0.299,0.486,0.683,0,0,1,0.0987,-8.768,0,36,1965,0.0541,128.723,4,0.745,2.94555,234,1.324031166,126,1960,1.857142857,T,F,F,F,tease,,,,T
why cant i be like any guy why do they try to make me run son of a gun now what do they care about the clothes i wear why get their kick from making fun yeah this world got a lot of space and if they dont like my face it aint me thats going anywhere no so i dont care let em laugh at me if thats the fare i have to pay to be free then baby laugh at me and ill cry for you and ill pray for you and ill do all the thing that the man upstairs say to do ill do em for you ill do em ill do em all for you it gotta stop someplace it gotta stop sometime ill make sure that shes mine and maybe the next guy that dont wear a silk tie he can walk by and say hi say hi instead of why instead of why instead of why babe instead of why what did i do to you i dont know what to do,sonny,sonny bono,94,laugh at me,1965,,laugh at me,sonny bono,0.145,0.547,0.703,0,0,7,0.158,-7.606,1,19,1967,0.0323,108.004,4,0.641,2.996666667,179,0.995550612,92,1960,1.945652174,F,T,F,F,,gun,,,T
im sittin in the railway station got a ticket for my destination mmm on a tour of one night stand my suitcase and guitar in hand and every stop is neatly planned for a poet and a one man band homeward bound i wish i wa homeward bound home where my thought escaping home where my music playing home where my love lie waiting silently for me everydays an endless stream of cigarette and magazine mmm and each town look the same to me the movie and the factory and every stranger face i see reminds me that i long to be homeward bound i wish i wa homeward bound home where my thought escaping home where my music playing home where my love lie waiting silently for me tonight ill sing my song again ill play the game and pretend mmm but all my word come back to me in shade of mediocrity like emptiness in harmony i need someone to comfort me homeward bound i wish i wa homeward bound home where my thought escaping home where my music playing home where my love lie waiting silently for me silently for me,simon & garfunkel,simon and garfunkel,50,homeward bound,1966,,homeward bound,simon and garfunkel,0.829,0.485,0.38,0,0,3,0.103,-11.773,1,61,1966/10/10,0.034,92.933,4,0.531,2.49355,194,1.296678765,88,1960,2.204545455,T,F,F,F,one night stand,,,,T
a breakin rock in the hot sun i fought the law and the law won i fought the law and the law won i needed money cause i had none i fought the law and the law won i fought the law and the law won i left my baby and i feel so sad i guess my race is run well shes the best girl ive ever had i fought the law and the law won i fought the law and the law won a robbin people with a six gun i fought the law and the law won i fought the law and the law won i miss my baby and a good fun i fought the law and the law won i fought the law and the law won i left my baby and i feel so bad i guess my race is run well shes the best girl ive ever had i fought the law and the law won i fought the law and the law won,bobby fuller four,bobby fuller,89,i fought the law,1966,,i fought the law,bobby fuller,0.105,0.593,0.804,0,2.22E-06,7,0.047,-5.497,1,53,1998,0.0319,148.959,4,0.962,2.306,171,1.235906331,42,1960,4.071428571,F,T,F,F,,gun,,,T
groovin on a sunday afternoon really couldnt get away too soon i cant imagine anything thats better the world is ours whenever were together there aint a place id like to be instead of movin down a crowded avenue doin anything we like to do there always lot of thing that we can see we can be anyone we like to be and all those happy people we could meet just groovin on a sunday afternoon really couldnt get away too soon no no no no well keep on spending sunny day this way were gonna talk and laugh our time away i feel it coming closer day by day life would be ecstasy you and me endlessly groovin on a sunday afternoon really couldnt get away too soon no no no no groovin groovin,the young rascals,the rascals,9,groovin',1967,,groovin,the rascals,0.595,0.605,0.455,0,0,5,0.0816,-8.903,0,54,1967,0.0301,106.825,4,0.678,2.521483333,135,0.892331895,81,1960,1.666666667,F,F,T,F,,,ecstasy,,T
she sits on the dock a fishin in the water uh huh i dont know her name shes the fisherman daughter uh huh come on down to my boat baby come on down where we can play come on down to my boat baby come on down well sail away she smiled so nice like she want to come with me uh huh but shes tied to the dock and she cant get free come on down to my boat baby come on down where we can play come on down to my boat baby come on down well sail away fish all day sleep all night father never let her out of his sight soon im gonna have to get my knife and cut that rope then we can go fishin in my little red boat make you happy in my little red boat so come on down to my boat baby come on down where we can play come on down to my boat baby come on down well sail away come on down to my boat baby come on down where we can play come on down to my boat baby come on down well sail away,every mother's son,every mother's son,22,come on down to my boat,1967,,come on down to my boat,every mothers son,0.493,0.606,0.686,0,1.18E-06,10,0.039,-7.292,1,27,2006/1/1,0.0362,127.882,4,0.96,2.586666667,200,1.288659794,72,1960,2.777777778,F,T,F,F,,knife,,,T
there something happening here but what it is aint exactly clear there a man with a gun over there telling me i got to beware i think it time we stop child whats that sound everybody look whats going down there battle line being drawn nobody right if everybodys wrong young people speaking their mind getting so much resistance from behind it time we stop hey whats that sound everybody look whats going down what a field day for the heat a thousand people in the street singing song and carrying sign mostly saying hooray for our side it time we stop hey whats that sound everybody look whats going down paranoia strike deep into your life it will creep it start when youre always afraid step out of line the men come and take you away we better stop hey whats that sound everybody look whats going down we better stop hey whats that sound everybody look whats going down we better stop now whats that sound everybody look whats going down we better stop child whats that sound everybody look whats going down,buffalo springfield,buffalo springfield,27,for what it's worth,1967,,for what its worth,buffalo springfield,0.406,0.653,0.519,0,0.0209,2,0.101,-10.164,1,75,1966/12/5,0.0497,98.883,4,0.822,2.56155,185,1.203698282,99,1960,1.868686869,F,T,F,F,,gun,,,T
when the truth is found to be lie and all the joy within you dy dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to love when the garden flower baby are dead yes and your mind your mind is so full of red dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to love your eye i say your eye may look like his yeah but in your head baby im afraid you dont know where it is dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to love tear are running down and down and down your breast and your friend baby they treat you like a guest dont you want somebody to love dont you need somebody to love wouldnt you love somebody to love you better find somebody to love,jefferson airplane,jefferson airplane,33,somebody to love,1967,,somebody to love,jefferson airplane,0.408,0.504,0.578,0,0,4,0.321,-9.302,1,67,1967,0.031,132.411,4,0.654,2.914,173,0.989476092,59,1960,2.93220339,T,F,F,F,breast,,,,T
we skipped the light fandango turned cartwheel cross the floor i wa feeling kinda seasick but the crowd called out for more the room wa humming harder a the ceiling flew away when we called out for another drink the waiter brought a tray and so it wa that later a the miller told his tale that her face at first just ghostly turned a whiter shade of pale she said there is no reason and the truth is plain to see but i wandered through my playing card and would not let her be one of sixteen vestal virgin who were leaving for the coast and although my eye were open they might have just a wellve been closed and so it wa that later a the miller told his tale that her face at first just ghostly turned a whiter shade of pale and so it wa that later she said im home on shore leave though in truth we were at sea so i took her by the looking glass and forced her to agree saying you must be the mermaid who took neptune for a ride but she smiled at me so sadly that my anger straightway died and so it wa that later a the miller told his tale that her face at first just ghostly turned a whiter shade of pale if music be the food of love then laughter is it queen and likewise if behind is in front then dirt in truth is clean my mouth by then like cardboard seemed to slip straight through my head so we crash dived straightway quickly and attacked the ocean bed and so it wa that later a the miller told his tale that her face at first just ghostly turned a whiter shade of pale,procol harum,procol harum,38,a whiter shade of pale,1967,,a whiter shade of pale,procol harum,0.504,0.249,0.66,0,0.0026,0,0.0891,-6.905,1,65,1967/5/12,0.0342,149.813,4,0.435,4.149116667,301,1.209092698,141,1960,2.134751773,T,F,F,T,virgin,,,virgin,T
ive been lonely too long ive been lonely too long in the past it come and gone i feel like i cant go on without love ive been lonely too long a i look back i can see me lost and searching now i find that i can choose im free oh yeah so funny i just have to laugh all my trouble been torn in half i been lonely too long in the past it come and gone i feel like i cant go on without love just see me now make it worth the time ive waited she wa all i need to make me see oh yeah i keep hopin with all my mind everything gonna turn out right ive been lonely too long now look at me gliding through this world of beauty everything i do brings ecstasy oh yeah no wonder i could die i feel like im bout ten mile high ive been lonely too long found myself somebody dont have to alone no more no more,the young rascals,the rascals,54,i've been lonely too long,1967,,ive been lonely too long,the rascals,0.256,0.672,0.717,0,0,2,0.0707,-5.862,1,30,2002/1/1,0.0435,123.45,4,0.758,2.135333333,173,1.350296597,89,1960,1.943820225,F,F,T,F,,,ecstasy,,T
groovin on a sunday afternoon really couldnt get away too soon i cant imagine anything thats better the world is ours whenever were together there aint a place id like to be instead of groovin down a crowded avenue doin anything we like to do there always lot of thing that we can see we can be anyone we want to be and all those happy people we could meet just groovin on a sunday afternoon really couldnt get away too soon ah ha ha ah ha ha ah ha ha well keep on spending sunny day this way were gonna talk and laugh our time away i feel it comin closer day by day life would be ecstasy you and me endlessly groovin on a sunday afternoon really couldnt get away too soon ah ha ha ah ha ha ah ha ha,booker t & the m.g.'s,booker t and the m.g.'s,72,groovin',1967,,groovin,booker t and the mgs,0.266,0.712,0.31,0,0.844,4,0.131,-14.365,1,16,2007/1/1,0.0322,107.584,4,0.857,2.758883333,143,0.863876085,82,1960,1.743902439,F,F,T,F,,,ecstasy,,T
one pill make you larger and one pill make you small and the one that mother give you dont do anything at all go ask alice when shes ten foot tall and if you go chasing rabbit and you know youre going to fall tell em a hookah smoking caterpillar ha given you the call call alice when she wa just small when the men on the chessboard get up and tell you where to go and youve just had some kind of mushroom and your mind is moving low go ask alice i think shell know when logic and proportion have fallen sloppy dead and the white knight is talking backwards and the red queen off with her head remember what the dormouse said feed your head feed your head feed your head,jefferson airplane,jefferson airplane,81,white rabbit,1967,,white rabbit,jefferson airplane,0.486,0.551,0.293,0,0.000273,2,0.0864,-12.503,1,70,1967,0.0272,106.798,4,0.322,2.510666667,134,0.889537971,86,1960,1.558139535,F,F,T,F,,,pill,,T
girl youll be a woman soon i love you so much cant count all the way ive died for you girl and all they can say is he not your kind they never get tired of putting me down and ill never know when i come around what im gonna find dont let them make up your mind dont you know girl youll be a woman soon please come take my hand girl youll be a woman soon soon youll need a man ive been misunderstood for all of my life but what theyre saying girl it cut like a knife the boy no good well ive finally found what im a looking for but if they get their chance theyll end it for sure surely would baby ive done all i could now it up to you girl youll be a woman soon please come take my hand girl youll be a woman soon soon youll need a man girl youll be a woman soon please come take my hand girl youll be a woman soon soon youll need a man,neil diamond,neil diamond,86,"girl, you'll be a woman soon",1967,,girl youll be a woman soon,neil diamond,0.557,0.499,0.628,0,0.114,5,0.39,-5.55,1,49,1968,0.0276,109.733,4,0.678,3.004216667,182,1.009691933,87,1960,2.091954023,F,T,F,F,,knife,,,T
here she come down say mony mony well shoot em down turn around come home honey hey she gimme love an i feel alright now everybody you got me tossin turnin in the night and i feel alright let me feel alright i say yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah well you make me feel mony mony so mony mony good mony mony yeah mony mony so good mony mony oh yeah mony mony come on mony mony all right baby mony mony say yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah break dis shake it mony mony shot gun get it done come on mony dont stop cookin it feel so good yeah hey well dont stop now hey come on mony well come on mony yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah well you make me feel mony mony so mony mony good mony mony yeah mony mony alright mony mony come on mony mony so good mony mony all right i say yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah ahhhhhhh oo i love ya mony mo mo mony oo i love ya mony mo mo mony oo i love ya mony mo mo mony oo i love ya mony mo mo mony i say yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah come on come on come on everybody alright alright come on,tommy james and the shondells,tommy james and the shondells,13,mony mony,1968,,mony mony,tommy james and the shondells,0.322,0.592,0.834,0,0,2,0.364,-11.565,1,53,2005/2/8,0.0334,130.967,4,0.809,2.902216667,246,1.412713271,58,1960,4.24137931,F,T,F,F,,gun,,,T
judy in disguise well thats a what you are a lemonade pie with a brand new car cantaloupe eye come to me tonight your judy in disguise with glass keep a wearing your bracelet and your new rah rah a cross your heart yeah with your living bra a chimney sweep sparrow with guy your judy in disguise with glass come to me tonight come to me tonight ive taken everything in sight unzipper the string of my kite judy in disguise well what you aiming for a circus of a horror yeah yeah well thats what you are you make me a life of ash i guess ill just take your glass,john fred & his playboy band,john fred,25,judy in disguise (with glasses),1968,,judy in disguise with glasses,john fred,0.0519,0.64,0.736,0,0.061,3,0.233,-8.12,1,34,2009/1/1,0.0543,82.583,4,0.961,2.874883333,113,0.655099047,59,1960,1.915254237,T,F,F,F,bra,,,,T
get your motor runnin head out on the highway looking for adventure in whatever come our way yea darlin gonna make it happen take the world in a love embrace fire all of your gun at once and explode into space i like smoke and lightnin heavy metal thunder racing with the wind and the feeling that im under yea darlin gonna make it happen take the world in a love embrace fire all of your gun at once and explode into space like a true nature child we were born born to be wild we can climb so high i never wanna die born to be wild born to be wild get your motor runnin head out on the highway looking for adventure in whatever come our way yea darlin gonna make it happen take the world in a love embrace fire all of your gun at once and explode into space like a true nature child we were born born to be wild we can climb so high i never wanna die born to be wild born to be wild,steppenwolf,steppenwolf,31,born to be wild,1968,,born to be wild,steppenwolf,0.273,0.439,0.737,0,0.28,2,0.228,-12.054,1,67,1968/1/1,0.115,145.942,4,0.533,3.548216667,182,0.854889545,68,1960,2.676470588,F,T,F,F,,gun,,,T
im a girl watcher im a girl watcher watchin girl go by hey my my im a girl watcher im a girl watcher here come one now i wa just a boy when i threw away my toy and found a new pastime to dwell on whenever i detects them there of the other sex i play the game i do so well on mumble something tell my my but you do look swell could you please walk a little slower wonder if you know that youre putting on a show could you please walk a little closer,the o'kaysions,the o'kaysions,45,girl watcher,1968,,girl watcher,the okaysions,0.761,0.657,0.553,0,9.01E-05,9,0.23,-9.017,1,19,2005,0.0434,92.753,4,0.884,2.60845,98,0.626170075,62,1960,1.580645161,T,F,F,F,sex,,,,T
